null,Homo sapiens,Pan troglodytes,Macaca mulatta,Ictidomys tridecemlineatus,Equus caballus,Rhinolophus ferrumequinum,Felis catus,Camelus dromedarius,Rattus norvegicus,Oryctolagus cuniculus,Mesocricetus auratus,Ovis aries,Mus musculus,Bos taurus,Canis lupus familiaris,Gallus gallus
Homo sapiens,100.00,98.84,90.39,72.35,67.75,73.22,69.98,70.14,70.51,69.03,68.41,71.40,70.08,68.51,68.40,50.00
Pan troglodytes,98.84,100.00,90.39,72.75,67.57,73.41,69.98,70.34,70.51,68.81,68.41,71.01,70.08,71.06,67.31,50.10
Macaca mulatta,89.65,89.65,100.00,69.79,70.89,71.30,70.49,68.76,68.46,66.02,65.33,69.06,66.22,68.23,67.54,50.75
Ictidomys tridecemlineatus,72.35,72.75,69.61,100.00,59.53,70.53,67.37,70.06,80.09,73.29,78.13,71.72,77.45,71.54,66.60,49.14
Equus caballus,69.08,68.90,71.07,59.17,100.00,71.89,72.76,73.53,65.48,64.35,63.53,72.11,57.89,73.39,73.14,47.33
Rhinolophus ferrumequinum,73.03,73.41,71.48,69.74,70.99,100.00,77.48,76.74,67.43,69.67,67.22,74.07,67.83,73.10,73.26,47.27
Felis catus,69.98,69.98,70.68,67.37,72.76,77.86,100.00,74.12,64.05,66.93,63.65,73.52,66.40,72.00,81.48,48.49
Camelus dromedarius,70.14,70.34,68.76,70.06,73.53,76.13,74.12,100.00,68.94,69.73,68.12,82.92,68.81,82.30,73.32,49.71
Rattus norvegicus,70.51,70.51,68.46,80.09,65.48,68.12,64.24,69.38,100.00,73.38,87.91,70.61,93.00,70.34,66.67,62.93
Oryctolagus cuniculus,70.26,70.67,67.38,73.08,61.28,69.47,66.93,69.73,73.38,100.00,71.37,70.58,72.89,70.79,65.86,48.91
Mesocricetus auratus,68.41,68.41,65.33,78.13,63.53,67.49,63.65,67.99,87.91,71.37,100.00,70.79,86.62,70.36,65.81,49.11
Ovis aries,71.40,71.01,69.25,71.52,72.11,74.27,73.52,82.92,70.61,70.58,70.79,100.00,69.04,94.17,73.27,47.50
Mus musculus,69.42,69.42,66.22,76.28,57.52,68.11,66.21,68.67,93.00,72.93,86.62,68.49,100.00,68.49,66.01,50.20
Bos taurus,68.51,71.06,68.87,71.54,73.39,73.31,72.00,82.30,70.34,70.79,70.36,94.17,69.12,100.00,73.32,48.62
Canis lupus familiaris,68.21,68.65,67.84,66.60,73.14,74.03,81.48,73.32,66.67,65.86,65.81,73.27,66.01,73.32,100.00,48.60
Gallus gallus,50.49,49.81,50.00,49.43,63.03,47.16,48.47,61.29,62.93,48.81,60.98,60.29,50.59,48.32,56.96,100.00
