null,Homo sapiens,Pan troglodytes,Macaca mulatta,Felis catus,Camelus dromedarius,Equus caballus,Canis lupus familiaris,Rhinolophus ferrumequinum,Bos taurus,Ovis aries,Ictidomys tridecemlineatus,Oryctolagus cuniculus,Rattus norvegicus,Mus musculus,Mesocricetus auratus,Gallus gallus
Homo sapiens,100.00,100.00,99.60,98.67,98.53,98.27,98.27,98.00,98.00,97.87,98.27,97.60,96.40,94.93,96.49,92.28
Pan troglodytes,100.00,100.00,99.60,98.67,98.53,98.27,98.27,98.00,98.00,97.87,98.27,97.60,96.40,94.93,96.49,92.28
Macaca mulatta,99.60,99.60,100.00,99.07,98.93,98.67,98.67,98.13,98.40,98.27,98.67,98.00,96.53,94.80,96.49,92.54
Felis catus,98.67,98.67,99.07,100.00,99.07,99.07,99.33,98.67,98.67,98.53,98.13,97.73,96.27,94.80,96.35,92.41
Camelus dromedarius,98.53,98.53,98.93,99.07,100.00,98.93,98.67,98.67,99.07,98.93,98.27,97.33,95.87,94.13,95.79,91.88
Equus caballus,98.27,98.27,98.67,99.07,98.93,100.00,98.93,98.53,98.80,98.66,98.13,97.33,96.13,94.67,96.21,92.00
Canis lupus familiaris,98.27,98.27,98.67,99.33,98.67,98.93,100.00,98.27,98.53,98.40,97.87,97.33,96.00,94.27,96.07,92.01
Rhinolophus ferrumequinum,98.00,98.00,98.13,98.67,98.67,98.53,98.27,100.00,98.27,98.40,98.13,97.07,96.40,94.67,96.35,92.01
Bos taurus,98.00,98.00,98.40,98.67,99.07,98.80,98.53,98.27,100.00,99.87,98.27,97.47,95.73,94.00,95.79,91.87
Ovis aries,97.87,97.87,98.27,98.53,98.93,98.66,98.40,98.40,99.87,100.00,98.13,97.33,95.60,93.87,95.65,91.87
Ictidomys tridecemlineatus,98.27,98.27,98.67,98.13,98.27,98.13,97.87,98.13,98.27,98.13,100.00,98.40,96.27,94.53,96.21,92.41
Oryctolagus cuniculus,97.60,97.60,98.00,97.73,97.33,97.33,97.33,97.07,97.47,97.33,98.40,100.00,96.40,94.93,96.49,92.54
Rattus norvegicus,96.40,96.40,96.53,96.27,95.87,96.13,96.00,96.40,95.73,95.60,96.27,96.40,100.00,98.00,99.16,91.51
Mus musculus,94.93,94.93,94.80,94.80,94.13,94.67,94.27,94.67,94.00,93.87,94.53,94.93,98.00,100.00,97.61,90.45
Mesocricetus auratus,96.49,96.49,96.49,96.35,95.79,96.21,96.07,96.35,95.79,95.65,96.21,96.49,99.16,97.61,100.00,91.76
Gallus gallus,92.28,92.28,92.54,92.41,91.88,92.00,92.01,92.01,91.87,91.87,92.41,92.54,91.51,90.45,91.76,100.00
