null,Homo sapiens,Pan troglodytes,Macaca mulatta,Bos taurus,Rhinolophus ferrumequinum,Ovis aries,Ictidomys tridecemlineatus,Mus musculus,Mesocricetus auratus,Rattus norvegicus,Equus caballus,Gallus gallus,Camelus dromedarius
Homo sapiens,100.00,100.00,99.17,94.46,94.17,94.35,94.77,91.40,91.30,89.59,92.21,81.70,98.91
Pan troglodytes,100.00,100.00,99.17,94.46,94.17,94.27,94.77,91.40,91.30,89.59,92.22,81.70,98.91
Macaca mulatta,99.17,99.17,100.00,94.15,93.45,94.05,94.56,90.99,90.99,89.59,91.68,81.54,98.91
Bos taurus,94.36,94.36,94.15,100.00,95.16,98.97,95.17,91.50,91.38,91.41,93.07,81.14,99.27
Rhinolophus ferrumequinum,94.17,94.17,93.45,95.16,100.00,95.16,93.85,90.97,91.50,90.68,93.91,81.78,98.91
Ovis aries,94.35,94.27,94.05,98.97,95.16,100.00,95.07,91.50,91.37,91.51,93.38,81.34,99.27
Ictidomys tridecemlineatus,94.77,94.77,94.56,95.17,93.85,95.07,100.00,92.02,92.02,91.20,91.87,81.24,98.91
Mus musculus,91.40,91.40,90.99,91.50,90.97,91.50,92.02,100.00,94.64,96.40,90.55,79.23,98.91
Mesocricetus auratus,91.30,91.30,90.99,91.38,91.50,91.37,92.02,94.64,100.00,94.34,90.98,80.65,98.54
Rattus norvegicus,89.48,89.48,89.48,89.98,90.57,90.08,91.10,96.30,94.24,100.00,89.80,79.46,98.91
Equus caballus,92.21,92.22,91.88,93.06,93.91,93.38,91.54,90.12,90.98,91.11,100.00,81.33,97.81
Gallus gallus,81.90,81.90,81.74,81.14,81.58,81.34,81.56,79.54,81.15,79.66,81.65,100.00,96.35
Camelus dromedarius,95.22,95.22,95.22,94.93,95.22,95.56,95.22,95.22,94.26,94.59,94.20,89.51,100.00
