null,Homo sapiens,Macaca mulatta,Pan troglodytes,Felis catus,Camelus dromedarius,Sus scrofa domesticus,Equus caballus,Rhinolophus ferrumequinum,Ovis aries,Canis lupus familiaris,Bos taurus,Ictidomys tridecemlineatus,Oryctolagus cuniculus,Mus musculus,Mesocricetus auratus,Rattus norvegicus,Gallus gallus
Homo sapiens,100.00,96.95,95.88,89.57,88.66,88.80,85.44,86.65,84.13,87.79,83.05,82.86,84.96,79.95,78.88,79.44,50.36
Macaca mulatta,96.95,100.00,94.99,89.82,89.17,88.80,85.44,86.90,84.13,87.76,83.05,82.61,85.25,79.08,79.75,77.22,50.73
Pan troglodytes,95.88,94.99,100.00,87.65,86.63,86.47,85.71,84.59,80.81,86.43,79.66,82.08,78.44,76.70,77.88,77.65,53.16
Felis catus,89.57,89.82,87.65,100.00,92.56,91.73,90.45,91.83,89.83,93.48,87.89,83.00,84.07,79.00,78.95,80.76,49.63
Camelus dromedarius,88.16,88.66,86.05,92.04,100.00,91.29,87.11,91.54,89.05,90.55,88.83,84.91,82.94,77.11,77.81,76.87,49.14
Sus scrofa domesticus,88.80,88.04,85.59,91.24,90.84,100.00,85.45,88.19,87.59,87.59,86.47,82.25,81.12,78.48,77.83,78.99,49.88
Equus caballus,85.19,84.22,84.29,90.56,86.81,85.71,100.00,85.61,82.97,86.44,79.69,78.82,79.33,74.64,73.98,75.12,47.32
Rhinolophus ferrumequinum,86.65,86.90,84.59,91.83,91.56,89.33,86.29,100.00,87.34,88.83,85.96,82.76,81.12,76.05,77.81,78.45,48.44
Ovis aries,83.88,83.88,79.36,89.00,88.92,87.84,81.03,87.04,100.00,87.19,94.06,82.99,80.88,77.11,76.77,75.85,49.51
Canis lupus familiaris,87.53,87.76,87.02,92.73,90.57,88.25,85.89,88.83,87.10,100.00,85.51,81.48,80.53,79.44,78.95,80.25,49.63
Bos taurus,82.80,82.80,79.38,87.65,88.89,86.96,80.43,85.96,94.29,85.51,100.00,82.78,79.43,74.51,75.30,74.57,48.75
Ictidomys tridecemlineatus,82.31,82.05,81.50,83.21,83.17,82.73,77.55,82.25,82.73,81.53,82.78,100.00,81.52,78.63,77.84,76.15,44.71
Oryctolagus cuniculus,83.78,84.07,77.40,82.89,82.94,79.94,78.21,81.12,80.88,79.35,81.16,82.11,100.00,77.06,75.73,75.73,49.15
Mus musculus,79.39,79.34,77.29,79.16,75.12,75.18,74.17,74.94,74.15,80.92,74.51,78.37,73.85,100.00,86.65,90.52,53.26
Mesocricetus auratus,78.37,77.00,76.15,77.83,77.18,75.73,73.94,77.45,76.46,76.94,76.03,79.69,75.73,86.43,100.00,86.72,53.83
Rattus norvegicus,75.31,77.47,73.31,79.31,74.58,75.12,74.12,77.32,75.85,78.20,73.66,76.77,75.73,89.53,85.61,100.00,53.00
Gallus gallus,50.36,50.73,53.64,49.50,50.00,49.30,47.55,48.67,50.86,49.77,48.67,48.61,49.15,53.79,53.89,52.55,100.00
